company_name,country,source
VOLKSWAGEN AG,DE,orbis
TOYOTA MOTOR CORPORATION,JP,orbis
GENERAL MOTORS COMPANY,US,orbis
FORD MOTOR COMPANY,US,orbis
STELLANTIS N.V.,NL,orbis
MERCEDES-BENZ GROUP AG,DE,orbis
BAYERISCHE MOTOREN WERKE AG,DE,orbis
"HONDA MOTOR CO., LTD.",JP,orbis
HYUNDAI MOTOR COMPANY,KR,orbis
BYD COMPANY LIMITED,CN,orbis
ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE,orbis
"TESLA, INC.",US,orbis
SAIC MOTOR CORPORATION LIMITED,CN,orbis
"NISSAN MOTOR CO., LTD.",JP,orbis
IRAN KHODRO INDUSTRIAL GROUP COMPANY PUBLIC JOINT STOCK,IR,orbis
KIA CORPORATION,KR,orbis
AUDI AG,DE,orbis
STELLANTIS AUTO SAS,FR,orbis
TATA SONS PRIVATE LIMITED,IN,orbis
RENAULT,FR,orbis
"BYD AUTOMOBILE INDUSTRY CO., LTD.",CN,orbis
DAIMLER TRUCK AG,DE,orbis
DAIMLER TRUCK HOLDING AG,DE,orbis
RENAULT S.A.S.,FR,orbis
"GUANGZHOU MINGWANG AUTO PARTS CO., LTD.",CN,orbis
TATA MOTORS PASSENGER VEHICLES LIMITED,IN,orbis
"GUANGZHOU HELLA AUTO PARTS MANUFACTURING CO., LTD.",CN,orbis
TRATON SE,DE,orbis
DENSO CORPORATION,JP,orbis
AB VOLVO,SE,orbis
TOYOTA MOTOR EUROPE,BE,orbis
MAGNA INTERNATIONAL INC,CA,orbis
DR. ING. H.C. F. PORSCHE AG,DE,orbis
NUEVA WALMART DE MEXICO,MX,orbis
IRANIAN AUTOMOBILE MANUFACTURING COMPANY (SAIPA) PUBLIC JOINT STOCK,IR,orbis
"BEIJING AUTOMOTIVE GROUP CO., LTD.",CN,orbis
"ZAOZHUANG YITONG AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
"GUANGZHOU BOYUE AUTO PARTS CO., LTD.",CN,orbis
SUZUKI MOTOR CORPORATION,JP,orbis
"HYUNDAI MOBIS CO.,LTD.",KR,orbis
HONEYWELL INTERNATIONAL INC,US,orbis
"CHERY AUTOMOBILE CO., LTD.",CN,orbis
VOLVO CAR AB,SE,orbis
"LITHIA MOTORS, INC.",US,orbis
JARDINE MATHESON HOLDINGS LIMITED,BM,orbis
BMW BRILLIANCE AUTOMOTIVE LTD.,CN,orbis
"WUHAN XIAOHORN AUTOMOTIVE SERVICE CO., LTD.",CN,orbis
PACCAR INC,US,orbis
MAZDA MOTOR CORPORATION,JP,orbis
JAGUAR LAND ROVER LIMITED,GB,orbis
SUBARU CORPORATION,JP,orbis
"PENSKE AUTOMOTIVE GROUP, INC.",US,orbis
"WEICHAI POWER CO., LTD.",CN,orbis
FORVIA SE,FR,orbis
"TESLA SHANGHAI CO., LTD.",CN,orbis
BAIC MOTOR CORPORATION LIMITED,CN,orbis
"HUBEI WEIWO POLYMER MATERIAL TECHNOLOGY CO., LTD.",CN,orbis
TOYOTA INDUSTRIES CORPORATION,JP,orbis
GREAT WALL MOTOR COMPANY LIMITED,CN,orbis
"HUIZHOU ANGEL REFRIGERATION EQUIPMENT CO., LTD.",CN,orbis
SKODA AUTO A.S.,CZ,orbis
"AUTONATION, INC.",US,orbis
BAIC MOTOR CORPORATION LIMITED,CN,orbis
"CARMAX, INC.",US,orbis
"HUBEI TIANYUAN QINGLING AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
VOLVO PERSONVAGNAR AKTIEBOLAG,SE,orbis
"BYD AUTO CO., LTD.",CN,orbis
ZHONGSHENG GROUP HOLDINGS LIMITED,KY,orbis
GENUINE PARTS COMPANY,US,orbis
STELLANTIS EUROPE S.P.A.,IT,orbis
LEAR CORPORATION,US,orbis
HUAYU AUTOMOTIVE SYSTEMS COMPANY LIMITED,CN,orbis
"FAW AUDI SALES CO., LTD.",CN,orbis
JARDINE CYCLE & CARRIAGE LTD,SG,orbis
"SAIC GENERAL MOTORS CO., LTD.",CN,orbis
VALEO,FR,orbis
ISUZU MOTORS LIMITED,JP,orbis
CHONGQING CHANGAN AUTOMOBILE COMPANY LIMITED,CN,orbis
FORD-WERKE GMBH,DE,orbis
"JIANGYIN YACHANG HARDWARE MOULD CO., LTD.",CN,orbis
PT ASTRA INTERNATIONAL TBK,ID,orbis
"GUANGDONG BAIYUAN ENVIRONMENTAL MANAGEMENT TECHNOLOGY CO., LTD.",CN,orbis
"SAIC VOLKSWAGEN SALES CO., LTD.",CN,orbis
"SANY AUTOMOBILE MANUFACTURING CO., LTD.",CN,orbis
"DONGYING JUFENG AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
"GROUP 1 AUTOMOTIVE, INC.",US,orbis
LI AUTO INC.,KY,orbis
"SERES GROUP CO., LTD.",CN,orbis
"HAINING MEILI PRECISION PLASTIC AUTO PARTS CO., LTD.",CN,orbis
"DONGGUAN XINGHUI AUTOMOBILE CO., LTD.",CN,orbis
APTIV PLC,GB,orbis
SCANIA CV AKTIEBOLAG,SE,orbis
FORD MOTOR COMPANY LIMITED,GB,orbis
"SERES GROUP CO.,LTD.",CN,orbis
"WUHAN ZHENKUI MECHANICAL AND ELECTRICAL EQUIPMENT CO., LTD.",CN,orbis
"CHINA GRAND AUTOMOTIVE SERVICES GROUP CO.,LTD.",CN,orbis
SCHAEFFLER AG,DE,orbis
MITSUBISHI MOTORS CORPORATION,JP,orbis
SAIC VOLKSWAGEN AUTOMOTIVE COMPANY LIMITED,CN,orbis
MARUTI SUZUKI INDIA LIMITED,IN,orbis
"XIANGYANG FUQI AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
"TOYOTA AUTO BODY CO.,LTD.",JP,orbis
SELFINVEST APS,DK,orbis
"ASBURY AUTOMOTIVE GROUP, INC.",US,orbis
FORD OTOMOTIV SANAYI A.S.,TR,orbis
FAW VOLKSWAGEN SALES COMPANY LTD,CN,orbis
SIME DARBY BERHAD,MY,orbis
"FAW TOYOTA MOTOR SALES CO., LTD.",CN,orbis
MAHINDRA & MAHINDRA LIMITED,IN,orbis
BAHMAN GROUP COMPANY PUBLIC JOINT STOCK,IR,orbis
STELLANTIS ESPANA SOCIEDAD LIMITADA.,ES,orbis
